,CLM,CRF,HYGW,IEP,JEPI,JEPQ,LABU,LQDW,SOXL,SVOL,TECL,TLTW
CLM,1.7893984684141884,2.24515776980045,0.4512389055555679,0.599776054377927,0.7083743712594601,1.1328219191730269,4.615472903481198,0.3489521153960825,5.64715884406938,0.4999303251770024,4.702652414615766,0.47390366079073215
CRF,2.24515776980045,3.0876192535096245,0.5966842675523536,0.8119246545717662,0.9748360973415722,1.532193734259226,5.9716046232055415,0.4460840938818675,7.18786865854443,0.686286483217555,6.293668849382978,0.5800680604636334
HYGW,0.4512389055555679,0.5966842675523536,0.2863278272165747,0.22139851553253984,0.41158466735468985,0.5698516531455532,2.288601341391303,0.1812657046491316,2.349639928414671,0.31023885112397803,2.18192843019617,0.20680315078836956
IEP,0.599776054377927,0.8119246545717662,0.22139851553253984,0.7186052885545253,0.337175559107777,0.49935997664996346,1.505622084453956,0.14664009032567893,2.4250605197144752,0.21353123847829752,1.9976265019311166,0.08271518343523267
JEPI,0.7083743712594601,0.9748360973415722,0.41158466735468985,0.337175559107777,0.805461413941006,1.0809273845404588,3.7311773397955523,0.2591838619058372,4.327041497479612,0.4715405056555488,4.245627783080829,0.22514404522673223
JEPQ,1.1328219191730269,1.532193734259226,0.5698516531455532,0.49935997664996346,1.0809273845404588,1.8278790852173707,6.032921854191815,0.33450396908701835,7.935082031630932,0.6605677139788725,7.453839534533279,0.3224697940561637
LABU,4.615472903481198,5.9716046232055415,2.288601341391303,1.505622084453956,3.7311773397955523,6.032921854191815,34.63469529326228,1.4447059475933886,27.06003523425899,2.922847847487887,24.524028812050318,1.7580716970718013
LQDW,0.3489521153960825,0.4460840938818675,0.1812657046491316,0.14664009032567893,0.2591838619058372,0.33450396908701835,1.4447059475933886,0.20382004484526667,1.4756488080505945,0.1918777787806673,1.2480344523386322,0.3251156774912697
SOXL,5.64715884406938,7.18786865854443,2.349639928414671,2.4250605197144752,4.327041497479612,7.935082031630932,27.06003523425899,1.4756488080505945,41.538116643709145,2.8692879010442436,34.03776420821519,1.6005625386566789
SVOL,0.4999303251770024,0.686286483217555,0.31023885112397803,0.21353123847829752,0.4715405056555488,0.6605677139788725,2.922847847487887,0.1918777787806673,2.8692879010442436,0.543874434134769,2.541784840974421,0.20892411312931697
TECL,4.702652414615766,6.293668849382978,2.18192843019617,1.9976265019311166,4.245627783080829,7.453839534533279,24.524028812050318,1.2480344523386322,34.03776420821519,2.541784840974421,31.89925597141747,1.196994586400346
TLTW,0.47390366079073215,0.5800680604636334,0.20680315078836956,0.08271518343523267,0.22514404522673223,0.3224697940561637,1.7580716970718013,0.3251156774912697,1.6005625386566789,0.20892411312931697,1.196994586400346,0.8601828798730431
